Candidate_Location,Distance_From_Job_Location (km),Cost_of_Living_Area,Current_Role,Seniority_Level,Experience_Years,Current_Salary (INR),Expected_Salary (INR),Education_Qualification,Relevant_Skills,Certifications,Notice_Period (Days),Planned_Leaves,Shift_Preference,Service_Bond_Acceptance,Work_Mode_Preference,Current_Company_Name,Current_Company_Industry,Current_Company_Brand_Perception,Job_Hopping_History (Years),Technology_Fit,Offered_Salary (INR),Salary_Difference (INR),Salary_Competitiveness,Offered_Position_Level,Offered_Job_Role,Job_Location,Relocation_Required,Benefits_Package,Career_Growth_Opportunities,Job_Security,Offer_Company_Brand_Value,Offer_Validity_Date,Offer_Letter_Clarity,Expected Joining Score (1-1000)
Mumbai,45,High,Analyst,Entry-Level,9,1267561,1255080,Master's Degree,"C++, Algorithms",PMP,10,14,Flexible,No,Remote,Cognizant,Retail,Negative,2,Moderate,2124620,146611,Above Average,Senior-Level,Developer,Madanapalle,Yes,Stock Options,Excellent,Stable,High,2024-12-31 14:11:33.008200,Ambiguous,190.82066666666668
Chennai,34,Low,Consultant,Entry-Level,3,786799,1994918,PhD,"Java, Spring Boot",None,42,13,Flexible,Yes,Offline,Cognizant,IT Services,Positive,5,Moderate,2982229,292121,Average,Lead,Developer,Bangalore,Yes,Stock Options,Limited,Strong,Low,2024-12-28 14:11:33.008200,Ambiguous,211.40763333333334
Delhi,21,Medium,Consultant,Senior-Level,5,819349,2042892,PhD,"JavaScript, React",PMP,16,7,Day,No,Offline,Accenture,IT Services,Positive,1,Moderate,1375415,215214,Average,Mid-Level,Data Analyst,Mumbai,Yes,Health Insurance,Excellent,Strong,Moderate,2025-01-17 14:11:33.008200,Ambiguous,253.84716666666668
Bangalore,24,Low,Consultant,Entry-Level,9,1055678,873866,Master's Degree,"Python, SQL, ML",Scrum Master,3,8,Night,Yes,Hybrid,Cognizant,Healthcare,Positive,9,Low,1035861,119920,Below Average,Mid-Level,Manager,Hyderabad,No,Health Insurance,Limited,Weak,Moderate,2025-01-21 14:11:33.008200,Clear,236.52870000000001
Mumbai,29,Low,Data Scientist,Senior-Level,12,440905,2125322,Bachelor's Degree,"Java, Spring Boot",Google Cloud Certified,62,2,Flexible,No,Remote,Infosys,Healthcare,Neutral,0,Moderate,2772388,400300,Below Average,Mid-Level,Team Lead,Hyderabad,No,Stock Options,Excellent,Strong,High,2024-12-15 14:11:33.008200,Clear,434.41293333333334
Pune,26,Low,Project Manager,Lead,14,570040,1763501,Diploma,"Python, SQL, ML",Google Cloud Certified,67,5,Day,Yes,Remote,Cognizant,IT Services,Neutral,0,Low,758062,371732,Below Average,Senior-Level,Data Analyst,Mumbai,Yes,Flexible Hours,Moderate,Strong,High,2024-12-26 14:11:33.008200,Clear,183.26873333333333
Darbhanga,17,Low,Data Scientist,Mid-Level,14,1774764,1108140,Master's Degree,"AWS, Docker, Kubernetes",Scrum Master,80,9,Day,No,Hybrid,TCS,IT Services,Negative,4,Low,2522609,340828,Below Average,Senior-Level,Developer,Hyderabad,No,Health Insurance,Excellent,Stable,Low,2024-12-27 14:11:33.008200,Ambiguous,410.0869666666667
Mumbai,23,High,Consultant,Entry-Level,3,611877,592512,Diploma,"JavaScript, React",Google Cloud Certified,40,10,Night,Yes,Offline,Cognizant,Retail,Negative,3,Moderate,2477645,240144,Below Average,Entry-Level,Developer,Bangalore,No,Health Insurance,Excellent,Weak,High,2024-12-16 14:11:33.008200,Clear,356.58816666666667
Delhi,40,High,Analyst,Mid-Level,7,866088,1361703,Diploma,"JavaScript, React",AWS Certified,82,14,Flexible,No,Hybrid,Accenture,IT Services,Negative,0,Low,1801471,396006,Below Average,Mid-Level,Team Lead,Pune,Yes,Flexible Hours,Excellent,Stable,Low,2024-12-28 14:11:33.008200,Clear,190.04903333333334
Bangalore,16,Low,Software Engineer,Mid-Level,12,1444620,1981074,Master's Degree,"AWS, Docker, Kubernetes",Scrum Master,4,4,Day,No,Hybrid,Cognizant,Banking,Neutral,3,High,2560046,277751,Average,Entry-Level,Data Analyst,Bangalore,No,Health Insurance,Moderate,Weak,Moderate,2025-01-04 14:11:33.008200,Clear,333.3348666666667
